Week End,Show,Type,Theatre,Grosses,Attend,% Cap
11/6/2022,& JULIET,Musical,Stephen Sondheim,779402,7086,0.99
11/13/2022,& JULIET,Musical,Stephen Sondheim,916641,8098,0.99
11/20/2022,& JULIET,Musical,Stephen Sondheim,913034,8136,0.99
11/27/2022,& JULIET,Musical,Stephen Sondheim,1145571,8112,0.99
12/4/2022,& JULIET,Musical,Stephen Sondheim,1029031,7323,0.89
12/11/2022,& JULIET,Musical,Stephen Sondheim,1152409,7806,0.95
12/18/2022,& JULIET,Musical,Stephen Sondheim,1071157,7524,0.92
12/25/2022,& JULIET,Musical,Stephen Sondheim,927233,6927,0.96
9/18/2022,1776 - 2022,Musical,American Airlines,182231,1994,0.91
9/25/2022,1776 - 2022,Musical,American Airlines,342777,4273,0.84
10/2/2022,1776 - 2022,Musical,American Airlines,349151,4898,0.85
10/9/2022,1776 - 2022,Musical,American Airlines,344466,5142,0.89
10/16/2022,1776 - 2022,Musical,American Airlines,339883,4437,0.77
10/23/2022,1776 - 2022,Musical,American Airlines,355583,4481,0.77
10/30/2022,1776 - 2022,Musical,American Airlines,270867,4179,0.72
11/6/2022,1776 - 2022,Musical,American Airlines,265729,4091,0.71
11/13/2022,1776 - 2022,Musical,American Airlines,293653,4222,0.73
11/20/2022,1776 - 2022,Musical,American Airlines,268847,3817,0.66
11/27/2022,1776 - 2022,Musical,American Airlines,269865,3853,0.67
12/4/2022,1776 - 2022,Musical,American Airlines,226467,3183,0.55
12/11/2022,1776 - 2022,Musical,American Airlines,261523,3937,0.68
12/18/2022,1776 - 2022,Musical,American Airlines,212110,3584,0.71
12/25/2022,1776 - 2022,Musical,American Airlines,130242,2657,0.61
11/6/2022,A BEAUTIFUL NOISE - THE NEIL DIAMOND MUSICAL,Musical,Broadhurst,845074,5081,0.88
11/13/2022,A BEAUTIFUL NOISE - THE NEIL DIAMOND MUSICAL,Musical,Broadhurst,1136471,7273,0.9
11/20/2022,A BEAUTIFUL NOISE - THE NEIL DIAMOND MUSICAL,Musical,Broadhurst,1198403,7766,0.84
11/27/2022,A BEAUTIFUL NOISE - THE NEIL DIAMOND MUSICAL,Musical,Broadhurst,980405,6057,0.66
